"SiteSubsitePlotYear","SiteSubsitePlot","SR"
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2008","ABISKO:ABISKODRY_PADDUS:CTL_3",12
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_3:2014","ABISKO:ABISKODRY_PADDUS:CTL_3",15
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2008","ABISKO:ABISKODRY_PADDUS:CTL_4",16
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_4:2014","ABISKO:ABISKODRY_PADDUS:CTL_4",12
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
"ABISKO:ABISKODRY_PADDUS:CTL_5:2008","ABISKO:ABISKODRY_PADDUS:CTL_5",14
