"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","Warning","Error"
"4001",2,2,NA,NA,NA,1.83338489526484,3.88919667590028,NA,NA
"4002",1,1,NA,NA,NA,NA,NA,NA,NA
"4003",2,2,NA,NA,NA,1.17851130197758,2.5,NA,NA
"4004",1,1,NA,NA,NA,NA,NA,NA,NA
"4005",3,3,7.34655482988538,NA,0.848840233470274,1.92406210276907,4.11681444882374,NA,NA
"4006",1,1,NA,NA,NA,NA,NA,NA,NA
"4007",2,2,NA,NA,NA,0.88082505614933,1.86851211072664,NA,NA
"4008",2,2,NA,NA,NA,0.497184455521791,1.0546875,NA,NA
"4009",2,2,NA,NA,NA,1.6830310163779,3.5702479338843,NA,NA
"4010",2,2,NA,NA,NA,1.46659184246099,3.11111111111111,NA,NA
"4011",2,2,NA,NA,NA,0.928077650307343,1.96875,NA,NA
"4012",3,3,5.02945340498984,NA,0.418508176759119,1.97058182623407,5.06856896842236,NA,NA
"4013",2,2,NA,NA,NA,2.1139801347584,4.48442906574394,NA,NA
"4014",2,2,NA,NA,NA,1.29267958435666,2.7421875,NA,NA
"4015",1,1,NA,NA,NA,NA,NA,NA,NA
"4016",1,1,NA,NA,NA,NA,NA,NA,NA
"4017",1,1,NA,NA,NA,NA,NA,NA,NA
"4018",3,3,7.51265943736028,NA,0.914614516664353,2.39964714122413,5.82466320195385,NA,NA
"4019",3,3,6.91439338853882,NA,0.290081370008076,0.947287550625035,2.30187594470909,NA,NA
"4020",3,3,7.45958445038951,NA,0.288383471998293,0.964516926901579,2.30379366558248,NA,NA
"4021",2,2,NA,NA,NA,2.05119405121056,4.35123966942149,NA,NA
"4022",2,2,NA,NA,NA,1.96353618577421,4.16528925619835,NA,NA
"4023",2,2,NA,NA,NA,1.96353618577421,4.16528925619835,NA,NA
"4024",3,3,6.89879927318747,NA,0.950082296050085,2.3562394168224,5.68356377491361,NA,NA
"4025",2,2,NA,NA,NA,1.98873782208716,4.21875,NA,NA
"4026",2,2,NA,NA,NA,2.10876815217763,4.47337278106509,NA,NA
"4027",10,10,25.4471476011329,0.840115024476651,0.81827191619096,3.0412652792487,9.73364790264904,NA,NA
"4028",14,14,46.7075320686599,0.826930883058354,0.487620564668831,1.90423339312773,4.67902131436215,NA,NA
"4029",10,10,26.486188608049,0.803005613871038,0.36167415015892,2.36588909962105,6.2704918123037,NA,NA
"4030",12,12,31.3302928006585,0.800703231699679,0.625518015875961,1.77379265916122,4.67009202649718,NA,NA
"4031",11,11,33.3184129502324,0.81723814972212,0.495058735498671,1.18578422636544,2.4751646698238,NA,NA
"4032",10,10,19.1900106575128,0.763424339479674,0.307986151242692,2.48409990679538,6.65409835308159,NA,NA
"4033",14,14,38.8044869633583,0.779256291953702,0.680064646814443,1.99701504046933,4.71679832807627,NA,NA
"4034",11,11,30.1752996940876,0.800666660172693,0.594559339253597,1.5413637573581,3.32597679820997,NA,NA
"4035",11,11,31.5353310386145,0.801378425524782,0.512649737922216,1.92034060243259,4.49646604071426,NA,NA
"4036",11,11,29.1280359571622,0.842994646859275,0.547854891260507,1.96917987252689,4.66504073937388,NA,NA
"4037",9,9,24.6992017614091,0.832255489227704,0.571596447670577,2.28168835194103,5.81746179743571,NA,NA
"4038",12,12,28.1881971619702,0.766195914260585,0.580878060796526,2.23092105749274,6.49667638629295,NA,NA
"4039",11,11,29.4006589597075,0.816431391446941,0.461884551635808,2.97010565662326,9.60972886562481,NA,NA
"4040",13,13,38.1100401702551,0.786327521370488,0.546901912405057,2.26762830842151,6.00576372751216,NA,NA
"4041",13,13,36.7756035996684,0.808605554727697,0.722796368000127,2.17191647520204,5.25993520816951,NA,NA
"4042",17,17,38.2419572420465,0.707373370800619,0.535773148332877,2.77029187533722,8.32739004230307,NA,NA
"4043",15,15,34.7679581012798,0.692763802863504,0.609572213593914,2.46039135396909,6.77493941418135,NA,NA
"4044",15,15,35.2499879431121,0.743140322920825,0.58793504521233,2.04161223448328,5.28115727300586,NA,NA
"4045",16,16,35.0570811633079,0.737646428379543,0.593970352017919,2.1724323886496,5.95957685683039,NA,NA
"4046",14,14,31.2086032086757,0.805360724874639,0.634019847859885,2.19371762771206,5.67363982682054,NA,NA
"4047",12,12,18.891375149874,0.739131175393957,0.488237788661742,2.7682790140652,7.88633384486596,NA,NA
"4048",12,12,26.4163947048339,0.772070625645619,0.481034731780531,1.00550450084119,2.56275796291445,NA,NA
"4049",13,13,34.9308712133149,0.777728462901136,0.544408882691818,1.46383833803983,3.54104529454193,NA,NA
"4050",17,17,37.0659318540901,0.700460735203315,0.692505536475107,3.29283796975387,11.4807182607582,NA,NA
