"","Taxon","Genus","Hybrid.marker","Species","Abbrev","Infraspecific.rank","Infraspecific","Authority","ID","Plant.Name.Index","TPL.version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","New.ID","New.Taxonomic.status","Typo","WFormat","Higher.level","Date"
"98","Carex norvegica","Carex","","norvegica",NA,NA,"","","kew-229087",TRUE,"1.1","Accepted","Cyperaceae","Carex","","norvegica","","","Retz.","kew-229087","Accepted",FALSE,FALSE,FALSE,2022-02-28
"99","Carex parallela","Carex","","parallela",NA,NA,"","","kew-229537",TRUE,"1.1","Accepted","Cyperaceae","Carex","","parallela","","","(Laest.) Sommerf.","kew-229537","Accepted",FALSE,FALSE,FALSE,2022-02-28
"100","Carex rostrata","Carex","","rostrata",NA,NA,"","","kew-230464",TRUE,"1.1","Accepted","Cyperaceae","Carex","","rostrata","","","Stokes","kew-230464","Accepted",FALSE,FALSE,FALSE,2022-02-28
"101","Carex rupestris","Carex","","rupestris",NA,NA,"","","kew-230521",TRUE,"1.1","Accepted","Cyperaceae","Carex","","rupestris","","","All.","kew-230521","Accepted",FALSE,FALSE,FALSE,2022-02-28
"102","Carex saxatilis","Carex","","saxatilis",NA,NA,"","","kew-230640",TRUE,"1.1","Accepted","Cyperaceae","Carex","","saxatilis","","","L.","kew-230640","Accepted",FALSE,FALSE,FALSE,2022-02-28
"103","Carex utriculata","Carex","","utriculata",NA,NA,"","","kew-231852",TRUE,"1.1","Accepted","Cyperaceae","Carex","","utriculata","","","Boott","kew-231852","Accepted",FALSE,FALSE,FALSE,2022-02-28
"104","Carex vaginata","Carex","","vaginata",NA,NA,"","","kew-231861",TRUE,"1.1","Accepted","Cyperaceae","Carex","","vaginata","","","Tausch","kew-231861","Accepted",FALSE,FALSE,FALSE,2022-02-28
"105","Cassiope ericoides","Cassiope","","ericoides",NA,NA,"","","kew-2704388",TRUE,"1.1","Accepted","Ericaceae","Cassiope","","ericoides","","","(Pall.) D.Don","kew-2704388","Accepted",FALSE,FALSE,FALSE,2022-02-28
"106","Cassiope tetragona","Cassiope","","tetragona",NA,NA,"","","kew-2704413",TRUE,"1.1","Accepted","Ericaceae","Cassiope","","tetragona","","","(L.) D.Don","kew-2704413","Accepted",FALSE,FALSE,FALSE,2022-02-28
"107","Catolobus pendulus","Catolobus","","pendulus",NA,NA,"","","kew-2705814",TRUE,"1.1","Accepted","Brassicaceae","Catolobus","","pendulus","","","(L.) Al-Shehbaz","kew-2705814","Accepted",FALSE,FALSE,FALSE,2022-02-28
