"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","Warning","Error"
"1001",7,7,14.7219028172875,0.86694333260217,0.552460265472877,2.14098055937585,5.36550332482508,NA,NA
"1002",7,7,14.5559603841204,0.830095771311637,0.634225204156901,1.99405109415963,4.88991616170239,NA,NA
"1003",6,6,12.5027238535608,0.851322104671326,0.55078999254009,2.03587996143813,4.85695040988717,NA,NA
"1004",5,5,10.2305772132472,0.990508234591196,0.750723764735941,2.5827127849896,6.82103350551718,NA,NA
"1005",5,5,10.2305772132472,0.990508234591196,0.373308956860791,2.12222819666322,5.30194766660912,NA,NA
"1006",5,5,10.2305772132472,0.990508234591196,0.45587652520861,2.33021327115194,5.9790129752752,NA,NA
"1007",5,5,10.2305772132472,0.990508234591196,0.487634023774278,2.17981632678786,5.46762502600061,NA,NA
"1008",5,5,10.2305772132472,0.990508234591196,0.490983983901917,1.97863105332201,4.94726645569615,NA,NA
"1009",5,5,10.2305772132472,0.990508234591196,0.513450532004305,1.76313761061024,4.32873767902431,NA,NA
"1010",5,5,10.2305772132472,0.990508234591196,0.513372725800791,2.08481677767106,5.3712472894795,NA,NA
"1011",5,5,10.2305772132472,0.990508234591196,0.507523814494795,2.07381373781392,5.3156939107147,NA,NA
"1012",6,6,13.9085687976884,0.941160556227584,0.677747403518441,2.11426396686707,5.3075941660764,NA,NA
"1013",6,6,14.7380885909504,0.954380212222811,0.708449608331916,2.04188460105687,4.95280241881531,NA,NA
"1014",6,6,14.7380885909505,0.954380212222811,0.683698148017889,2.04522114807072,4.86148761936688,NA,NA
"1015",6,6,14.7380885909505,0.954380212222811,0.685017503926214,2.08123201075432,5.09620103725345,NA,NA
"1016",6,6,14.7380885909504,0.95438021222281,0.643328326271916,2.07629227500114,5.22876408625287,NA,NA
"1017",7,7,13.8073322339921,0.890738258760358,0.712371677112066,2.37061251953234,6.45763339569803,NA,NA
"1018",6,6,13.9085687976884,0.941160556227584,0.24894827294855,2.06534737125865,4.63014264762824,NA,NA
"1019",5,5,13.8605979968529,0.957273043579187,0.80157940022562,2.41265099945177,6.33166587156129,NA,NA
"1020",3,3,7.13524259368171,NA,0.787230067430465,2.31196229043278,5.64099125381192,NA,NA
"1021",3,3,7.13524259368171,NA,0.74052930059326,2.2619638293122,5.46708119007026,NA,NA
"1022",4,4,6.9435576781432,1,0.449537981040839,2.07743666598571,5.03269597285212,NA,NA
"1023",4,4,6.504024637686,1,0.631146912487382,2.42433764436295,6.48202042152722,NA,NA
"1024",4,4,6.9435576781432,1,0.555901230925855,2.18837429086804,5.35054909494747,NA,NA
"1025",3,3,7.13524259368172,NA,0.886787825766878,2.22379709078517,5.4190414971283,NA,NA
"1026",4,4,7.72929757470636,1,0.675748866357219,2.17641354850627,5.21738604512755,NA,NA
"1027",7,7,16.7918490184761,0.888807462206249,0.843338222986234,2.51767908194713,6.80991345570999,NA,NA
"1028",6,6,15.1786963775359,0.934477667843902,0.710575606609524,2.25730469269025,5.84006151442492,NA,NA
"1029",6,6,15.1786963775358,0.934477667843902,0.739489066152643,2.34264428164854,6.06387511624489,NA,NA
"1030",7,7,13.9850609363794,0.827687667447996,0.441313558097359,2.31337974683875,5.71034142121718,NA,NA
"1031",7,7,16.7918490184761,0.888807462206249,0.826486096204488,2.04660259083056,4.87695868263053,NA,NA
"1032",7,7,13.9850609363794,0.827687667447996,0.536406992955641,2.13571923315789,5.27642229727225,NA,NA
"1033",5,5,10.4759369344975,0.96309519405751,0.738383578881587,2.46816601913019,6.64460091513091,NA,NA
"1034",6,6,15.1786963775359,0.934477667843903,0.79015778071251,2.29794122961859,5.91075224814101,NA,NA
"1035",6,6,15.1786963775359,0.934477667843902,0.777776420841597,2.35718382322713,6.09224550562617,NA,NA
"1036",8,8,17.1266396886669,0.79925145454512,0.671320028126429,2.54777851848694,6.96962411448501,NA,NA
"1037",7,7,16.8102582084636,0.84915281000591,0.781680868398034,2.28060808189157,5.64219690570243,NA,NA
"1038",7,7,16.8102582084636,0.84915281000591,0.778013767575232,2.36766967741481,6.11704820263758,NA,NA
"1039",8,8,16.8831808344494,0.793928975430681,0.375118924093004,2.49141492895739,6.66959150124997,NA,NA
"1040",7,7,16.9118456113445,0.853651818331445,0.717800484629662,2.58646196490096,6.95295151095371,NA,NA
"1041",8,8,16.2682737090224,0.859146100464622,0.827334507856038,2.50382070015695,6.53834407294123,NA,NA
"1042",7,7,15.9423001313587,0.893326155256027,0.710882877247372,2.46227909903604,6.36644827359691,NA,NA
"1043",10,10,18.9981901649043,0.803839125861056,0.599013745342214,2.57039017977204,6.80600738398979,NA,NA
