"","nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","Warning","Error"
"581",9,9,20.3418155303836,0.822295810864611,0.647741567698047,2.6260837015343,7.80749688779578,NA,NA
"582",10,10,23.9295734426543,0.733243800560663,0.563289896929835,2.48702549779352,7.38529654709702,NA,NA
"583",9,9,25.1811530224069,0.825199333663043,0.667817217966729,2.80962769173356,8.77762020734609,NA,NA
"584",9,9,25.0758218893932,0.86611415548071,0.661278940812767,2.66206764012881,8.50142635656041,NA,NA
"585",4,4,6.8199535956767,1,0.88288612863262,2.51440021318996,6.6040176109217,NA,NA
"586",7,7,17.225420186405,0.891311314811057,0.761850631383809,2.2362591934973,5.62203232338041,NA,NA
"587",6,6,16.4219996856302,0.880458959485716,0.519983568259467,2.01144014896525,5.00917937455129,NA,NA
"588",8,8,20.8958961161738,0.834239871754939,0.543938633392513,2.04677792998918,4.85303094410995,NA,NA
"589",7,7,17.897084356373,0.88466584857552,0.648470134725166,1.35379789425448,3.38375759362537,NA,NA
"590",8,8,22.3570532063037,0.843956182325267,0.684683618968905,1.94804541043037,4.97385794826423,NA,NA
"591",8,8,20.9529791224731,0.841173273138839,0.801762227054312,2.00816603112919,5.71956454717278,NA,NA
"592",8,8,20.8958961161738,0.834239871754939,0.713421883702711,2.77602410620507,8.5880221994141,NA,NA
"593",8,8,22.5207361365593,0.872502239217683,0.690398164371869,2.74093047127632,8.59682542643017,NA,NA
"594",7,7,17.897084356373,0.88466584857552,0.582168105827125,2.6662944625617,7.95321032230085,NA,NA
"595",7,7,17.897084356373,0.88466584857552,0.550983552133375,2.54690996103561,7.66672800416535,NA,NA
"596",7,7,18.511670337357,0.888528531224705,0.598392456893248,2.09967266903864,5.51541300600524,NA,NA
"597",9,9,21.4015701332433,0.804821511377627,0.663219203877911,1.98761672121716,5.06265495096798,NA,NA
"598",8,8,16.6536278593468,0.794521705880802,0.604698662656025,1.40842127613023,3.18069698304254,NA,NA
"599",11,11,30.240080219918,0.784482153819437,0.644155361063586,1.6153882584311,4.11485430941548,NA,NA
