"X","nbsp","sing.sp","FRic","qual.FRic","FEve","FDis","RaoQ","Warning","Error"
1966,8,8,24.8554748944342,0.884552056410543,0.694539075477658,2.30244610249218,6.17297812837347,NA,NA
1967,9,9,27.7039464948995,0.878939472555236,0.689350535687245,2.79982383446679,8.14560944809414,NA,NA
1968,8,8,24.8554748944342,0.884552056410543,0.783578847119801,2.84688429634379,8.23971519964436,NA,NA
1969,10,10,28.9511076434508,0.847895334333594,0.656328410833318,2.70733967099908,8.14345159991791,NA,NA
1970,8,8,17.8816683840713,0.882590598867431,0.600997954947076,2.46501659621372,7.01899403652714,NA,NA
1971,11,11,27.0349972096392,0.762089753209488,0.466015180526482,2.72541096691618,7.77538345066064,NA,NA
1972,5,5,10.1173820023796,0.958519101080475,0.864004001201789,2.55255025000464,6.78321075847849,NA,NA
1973,7,7,18.1209989076447,0.932686532031382,0.779389346252548,2.80266893408146,8.28360845859038,NA,NA
1974,5,5,10.1173820023796,0.958519101080475,0.833457598071195,2.53205006067198,6.6989237205431,NA,NA
1975,5,5,10.1173820023796,0.958519101080475,0.860314450861054,2.52335765676349,6.62223047893775,NA,NA
1976,6,6,10.9307757313843,0.957743807151709,0.799314340326774,2.32962696910815,5.60602602341418,NA,NA
1977,5,5,9.97257771296122,0.927919485973252,0.505868512862859,1.99479179689976,4.39599459844657,NA,NA
1978,7,7,16.5021499125698,0.883882445461393,0.511081852092822,2.30364999247967,5.8180166730859,NA,NA
1979,6,6,9.74947598499285,0.944982358126081,0.454899621317276,2.06486006014339,4.79497639447837,NA,NA
1980,5,5,8.7760450391309,0.96806311453012,0.626172511118204,2.06349436949357,4.47771136675413,NA,NA
1981,4,4,7.77281548643965,1,0.934843962532488,2.52728470610742,6.62616223651278,NA,NA
1982,5,5,11.0820537980951,0.907989335265818,0.671044829020301,2.36762790941086,6.13514603894782,NA,NA
1983,5,5,9.7548680412955,0.927709600819054,0.336218881219839,1.88349297743373,3.85079479384568,NA,NA
1984,4,4,7.77281548643964,1,0.760007966699324,2.3125090566243,5.62167355063316,NA,NA
1985,2,2,NA,NA,NA,0.273414622058798,0.579999999999999,NA,NA
1986,2,2,NA,NA,NA,2.07802809165026,4.40816326530612,NA,NA
1987,4,4,7.77281548643965,1,0.745840748242673,1.86939550113352,3.83694531042366,NA,NA
1988,4,4,7.77281548643965,1,0.722019266303664,1.90858686269025,4.41624623879451,NA,NA
1989,3,3,NA,NA,0.852035153238445,2.43265390115813,5.95954013964475,NA,NA
1990,4,4,7.77281548643965,1,0.776172948252568,2.22298497914595,5.50957208772093,NA,NA
1991,3,3,NA,NA,0.744102287656783,2.42148935424219,5.8803372057206,NA,NA
1992,3,3,NA,NA,0.806615667103682,2.03623703039713,4.96130798079041,NA,NA
1993,8,8,20.2355437254836,0.895398619993846,0.630077385626092,2.30083684785821,6.21772061416283,NA,NA
1994,7,7,15.4363458230245,0.80171862471526,0.45919525103433,1.95308015387691,4.5689424555387,NA,NA
1995,8,8,17.8498287472064,0.798566843085652,0.493560934745822,2.19165282488927,5.47535622580674,NA,NA
1996,6,6,14.8100762489551,0.85878450716255,0.704628977928654,2.14443488545884,5.16778597074915,NA,NA
1997,6,6,13.8217793233389,0.875389346798615,0.688899763687487,2.16901958552429,5.07329140684597,NA,NA
1998,6,6,14.8100762489551,0.85878450716255,0.475508482727763,1.77154180846188,3.80061354169428,NA,NA
